UID: 3674537,Company Name: ,Country: 
Uid,Time,Currency,Contract,Type,Direction,Quantity,Position,Filled Price,Funding,Fee Paid,Cash Flow,Change,Wallet Balance,Fee Rate,Trade ID,Order ID
3674537,2026-03-24 02:08:01,USDT,SIRENUSDT,Trade,Open Short,41.0000,98.0000,1.00225000,0E-8,0.04520148,0E-8,-0.04520148,5513.74748100,0.00110000,b0b1e43d-f8ce-511f-b3ef-5bdc77dd6ce0,07452c3d-eb0c-4bc1-9a37-bca24340eae0
3674537,2026-03-24 02:03:23,USDT,,Pre-deduction return,,,,,0E-8,0E-8,-0.32860000,-0.32860000,5393.60025107,0E-8,,
3674537,2026-03-24 19:01:16,USDT,CUSDT,Trade,Open Short,50.0000,180.0000,0.06903000,0E-8,0.00379665,0E-8,-0.00379665,5545.41401373,0.00110000,94a8eccd-353c-50ad-b035-06610f503316,c607d8e8-a4f2-41f1-bb5e-bf202fbd4ed2
3674537,2026-03-24 01:59:31,USDT,SIRENUSDT,Trade,Open Long,24.0000,1832.0000,0.90865000,0E-8,0.02398836,0E-8,-0.02398836,5368.62500282,0.00110000,3ce5fa0a-61cc-57cf-a02c-e07b3a74ded1,6ce8aea2-d217-4abc-aa38-ec010921a4c3
3674537,2026-03-24 02:02:45,USDT,SIRENUSDT,Trade,Close Long,14.0000,2678.0000,0.92934000,0E-8,0.01431184,0.05442195,0.04011011,5372.29690951,0.00110000,82f6e33f-17fa-5de7-8e4e-c2fd46a5758b,280d6f46-a7a5-4112-b0fe-be04e332d7c5
3674537,2026-03-24 02:03:20,USDT,SIRENUSDT,Trade,Close Long,10.0000,1535.0000,0.95243000,0E-8,0.01047673,0.26977282,0.25929609,5391.78629890,0.00110000,b859402a-c965-53ce-99d7-3caad057af76,a22cca64-e151-41a0-a758-8b321e397a21
3674537,2026-03-24 02:14:52,USDT,SIRENUSDT,Trade,Open Short,57.0000,161.0000,1.18285000,0E-8,0.07416470,0E-8,-0.07416470,5513.66670145,0.00110000,e243e08a-b148-55b0-a807-2d6ba64c1f12,e2d4256e-0e5c-4817-9358-33c85e49fb1e
3674537,2026-03-24 19:01:16,USDT,CUSDT,Trade,Open Short,130.0000,130.0000,0.06904000,0E-8,0.00987272,0E-8,-0.00987272,5545.41781038,0.00110000,cf905d1d-99a9-5a77-be13-dd50781d10c7,c607d8e8-a4f2-41f1-bb5e-bf202fbd4ed2
3674537,2026-03-24 01:59:29,USDT,SIRENUSDT,Trade,Open Long,7.0000,1509.0000,0.90842000,0E-8,0.00699484,0E-8,-0.00699484,5368.94765208,0.00110000,18d75812-796d-5dc6-b83a-ae5a5117ed3c,e70ee7f8-7100-46ce-b857-9b0d95231c48
3674537,2026-03-23 20:53:01,USDT,LIGHTUSDT,Trade,Open Short,40.0000,245.0000,0.37780000,0E-8,0.01662320,0E-8,-0.01662320,5363.29813010,0.00110000,7a598952-b512-52bc-a17b-9d5b8105ac0d,9642a7e8-17cb-4182-a72d-16d714de88bd
3674537,2026-03-24 02:02:51,USDT,,Pre-deduction return,,,,,0E-8,0E-8,-0.00350000,-0.00350000,5374.73251722,0E-8,,
3674537,2026-03-23 21:22:15,USDT,LIGHTUSDT,Trade,Close Short,40.0000,179.0000,0.37740000,0E-8,0.01660560,0.13200000,0.11539440,5368.41487832,0.00110000,83c10c35-ebab-583e-b5b5-454a82656181,8af14dfc-291f-4aa7-8ea0-6551d5650506
3674537,2026-03-24 02:14:52,USDT,SIRENUSDT,Trade,Open Short,34.0000,195.0000,1.18275000,0E-8,0.04423485,0E-8,-0.04423485,5513.62246660,0.00110000,19b82a22-a9cb-5326-8926-3783e0a06a9a,e2d4256e-0e5c-4817-9358-33c85e49fb1e
3674537,2026-03-23 21:22:15,USDT,LIGHTUSDT,Trade,Close Short,4.0000,175.0000,0.37740000,0E-8,0.00166056,0.01320000,0.01153944,5368.42641776,0.00110000,3b3fed62-d33c-55c5-8c3a-389ea13fa012,8af14dfc-291f-4aa7-8ea0-6551d5650506
3674537,2026-03-24 02:00:45,USDT,SIRENUSDT,Trade,Open Long,41.0000,2406.0000,0.84842000,0E-8,0.03826375,0E-8,-0.03826375,5368.06567969,0.00110000,f70045bd-ed7e-5d0b-896b-6d4fc0c81a5b,d8d1c213-abe4-489a-9b37-dc8eb6980c94
